,Date,Price,Open,High,Low,Vol.,Change %,year
324,2019-08-20,56.34,56.1,56.6,55.28,47.45K,0.23%,2019
325,2019-08-19,56.21,54.96,56.41,54.84,113.57K,2.44%,2019
326,2019-08-16,54.87,54.74,55.67,54.26,168.35K,0.73%,2019
327,2019-08-15,54.47,54.9,55.33,53.77,527.87K,-1.38%,2019
328,2019-08-14,55.23,56.74,56.85,53.97,718.29K,-3.27%,2019
329,2019-08-13,57.1,54.73,57.47,54.21,783.49K,3.95%,2019
330,2019-08-12,54.93,54.32,55.18,53.54,611.03K,0.79%,2019
331,2019-08-09,54.5,52.88,54.92,52.37,726.39K,3.73%,2019
332,2019-08-08,52.54,52.33,53.06,51.94,724.76K,2.84%,2019
333,2019-08-07,51.09,53.42,53.77,50.52,1.06M,-4.74%,2019
334,2019-08-06,53.63,54.95,55.42,53.29,682.79K,-1.94%,2019
335,2019-08-05,54.69,55.38,55.61,54.22,823.84K,-1.74%,2019
336,2019-08-02,55.66,54.54,56.05,54.15,739.81K,3.17%,2019
337,2019-08-01,53.95,57.85,57.99,53.59,886.75K,-7.90%,2019
338,2019-07-31,58.58,58.34,58.82,57.81,614.00K,0.91%,2019
339,2019-07-30,58.05,57.07,58.47,56.96,547.40K,2.07%,2019
340,2019-07-29,56.87,56.2,57.1,55.81,529.74K,1.19%,2019
341,2019-07-26,56.2,55.93,56.57,55.68,476.79K,0.32%,2019
342,2019-07-25,56.02,55.9,56.99,55.81,559.28K,0.25%,2019
343,2019-07-24,55.88,57.23,57.64,55.33,745.25K,-1.57%,2019
344,2019-07-23,56.77,56.17,57.47,55.74,521.88K,0.98%,2019
345,2019-07-22,56.22,56.22,56.84,55.72,24.30K,1.06%,2019
346,2019-07-19,55.63,55.72,56.36,54.99,105.22K,0.60%,2019
347,2019-07-18,55.3,56.6,57.32,54.72,215.36K,-2.61%,2019
348,2019-07-17,56.78,57.52,58.36,56.21,504.43K,-1.46%,2019
349,2019-07-16,57.62,59.26,60.06,57.07,712.54K,-3.29%,2019
350,2019-07-15,59.58,60.25,60.92,59.2,566.82K,-1.05%,2019
351,2019-07-12,60.21,60.46,60.74,59.93,469.03K,0.02%,2019
352,2019-07-11,60.2,60.44,60.94,60.14,573.02K,-0.38%,2019
353,2019-07-10,60.43,58.4,60.53,58.35,690.66K,4.50%,2019
354,2019-07-09,57.83,57.56,59.1,57.29,551.87K,0.29%,2019
355,2019-07-08,57.66,57.77,58.46,57.3,540.86K,0.26%,2019
356,2019-07-05,57.51,57.38,57.82,56.29,698.02K,1.25%,2019
357,2019-07-04,56.8,57.41,57.57,56.48,-,-0.94%,2019
358,2019-07-03,57.34,56.49,57.48,56.04,600.13K,1.94%,2019
359,2019-07-02,56.25,59.14,59.43,56.09,878.94K,-4.81%,2019
360,2019-07-01,59.09,59.27,60.28,58.34,674.89K,1.06%,2019
361,2019-06-28,58.47,59.22,59.8,57.75,556.10K,-1.62%,2019
362,2019-06-27,59.43,59.27,59.73,58.61,531.41K,0.08%,2019
363,2019-06-26,59.38,58.84,59.93,58.65,686.82K,2.68%,2019
364,2019-06-25,57.83,57.74,58.84,57.2,673.14K,-0.12%,2019
365,2019-06-24,57.9,57.72,58.22,56.75,597.16K,0.82%,2019
366,2019-06-21,57.43,57.26,57.98,56.66,676.05K,1.38%,2019
367,2019-06-20,56.65,54.12,57.02,54.11,27.88K,5.38%,2019
368,2019-06-19,53.76,54.09,54.42,53.28,122.84K,-0.26%,2019
369,2019-06-18,53.9,51.95,54.31,51.5,181.64K,3.79%,2019
370,2019-06-17,51.93,52.5,52.74,51.58,397.87K,-1.10%,2019
371,2019-06-14,52.51,52.18,52.98,51.7,574.23K,0.44%,2019
372,2019-06-13,52.28,51.07,53.45,50.92,945.02K,2.23%,2019
373,2019-06-12,51.14,53.04,53.05,50.72,786.11K,-4.00%,2019
374,2019-06-11,53.27,53.43,54.04,52.91,642.94K,0.02%,2019
375,2019-06-10,53.26,54.24,54.84,53.05,687.15K,-1.35%,2019
376,2019-06-07,53.99,53.1,54.32,52.62,828.13K,2.66%,2019
377,2019-06-06,52.59,51.66,53.3,51.17,790.07K,1.76%,2019
378,2019-06-05,51.68,52.86,53.41,50.6,943.19K,-3.37%,2019
379,2019-06-04,53.48,52.89,53.78,52.43,831.63K,0.43%,2019
380,2019-06-03,53.25,53.42,54.63,52.11,984.31K,-0.47%,2019
381,2019-05-31,53.5,56.46,56.61,53.05,1.03M,-5.46%,2019
382,2019-05-30,56.59,59.12,59.7,56.33,842.28K,-3.77%,2019
383,2019-05-29,58.81,59.07,59.14,56.88,1.12M,-0.56%,2019
384,2019-05-28,59.14,58.94,59.57,58.13,1.02M,-0.03%,2019
385,2019-05-27,59.16,58.77,59.26,58.14,-,0.66%,2019
386,2019-05-26,58.77,58.94,59.0,58.67,-,0.24%,2019
387,2019-05-24,58.63,58.21,59.1,57.5,758.10K,1.24%,2019
388,2019-05-23,57.91,61.31,61.41,57.33,1.11M,-5.71%,2019
389,2019-05-22,61.42,62.95,63.0,61.03,766.73K,-2.49%,2019
390,2019-05-21,62.99,63.22,63.6,62.75,28.91K,-0.17%,2019
391,2019-05-20,63.1,62.93,63.81,62.45,131.89K,0.54%,2019
392,2019-05-17,62.76,63.12,63.64,62.52,215.80K,-0.17%,2019
393,2019-05-16,62.87,62.12,63.48,62.08,545.68K,1.37%,2019
394,2019-05-15,62.02,61.37,62.34,60.85,723.00K,0.39%,2019
395,2019-05-14,61.78,60.86,62.11,60.69,751.67K,1.21%,2019
396,2019-05-13,61.04,61.65,63.33,60.64,1.00M,-1.01%,2019
397,2019-05-10,61.66,61.64,62.49,61.42,786.49K,-0.06%,2019
398,2019-05-09,61.7,62.02,62.21,60.92,769.58K,-0.68%,2019
399,2019-05-08,62.12,61.44,62.37,61.07,791.77K,1.17%,2019
400,2019-05-07,61.4,62.17,62.49,60.66,842.81K,-1.37%,2019
401,2019-05-06,62.25,61.43,62.95,60.04,768.81K,0.50%,2019
402,2019-05-03,61.94,61.55,62.52,61.3,646.87K,0.21%,2019
403,2019-05-02,61.81,63.61,63.68,60.95,914.66K,-2.81%,2019
404,2019-05-01,63.6,63.4,63.93,62.77,676.87K,-0.49%,2019
405,2019-04-30,63.91,63.58,64.75,63.3,750.49K,0.65%,2019
406,2019-04-29,63.5,62.95,63.69,62.46,654.08K,0.32%,2019
407,2019-04-26,63.3,65.13,65.18,62.28,1.00M,-2.93%,2019
408,2019-04-25,65.21,65.81,66.28,64.9,603.00K,-1.03%,2019
409,2019-04-24,65.89,66.17,66.43,65.66,678.39K,-0.62%,2019
410,2019-04-23,66.3,65.75,66.6,65.58,700.60K,0.91%,2019
411,2019-04-22,65.7,64.0,65.92,64.0,30.14K,2.66%,2019
412,2019-04-18,64.0,63.75,64.16,63.46,148.24K,0.38%,2019
413,2019-04-17,63.76,64.32,64.61,63.66,235.38K,-0.45%,2019
414,2019-04-16,64.05,63.57,64.37,62.99,547.47K,1.03%,2019
415,2019-04-15,63.4,63.76,63.84,63.03,555.86K,-0.77%,2019
416,2019-04-12,63.89,63.71,64.65,63.66,625.59K,0.49%,2019
417,2019-04-11,63.58,64.48,64.49,63.31,760.50K,-1.59%,2019
418,2019-04-10,64.61,64.22,64.7,64.05,722.22K,0.98%,2019
419,2019-04-09,63.98,64.4,64.79,63.68,790.68K,-0.65%,2019
420,2019-04-08,64.4,63.33,64.48,63.13,895.77K,2.09%,2019
421,2019-04-05,63.08,62.18,63.34,61.82,686.86K,1.58%,2019
422,2019-04-04,62.1,62.5,62.77,61.89,684.97K,-0.58%,2019
423,2019-04-03,62.46,62.64,62.99,62.05,799.67K,-0.19%,2019
424,2019-04-02,62.58,61.81,62.75,61.6,793.23K,1.61%,2019
425,2019-04-01,61.59,60.24,61.8,60.13,670.81K,2.41%,2019
426,2019-03-29,60.14,59.53,60.73,59.41,705.56K,1.42%,2019
427,2019-03-28,59.3,59.4,59.56,58.2,712.21K,-0.19%,2019
428,2019-03-27,59.41,60.03,60.22,58.81,732.15K,-0.88%,2019
429,2019-03-26,59.94,59.12,60.38,59.04,685.99K,1.90%,2019
430,2019-03-25,58.82,58.98,59.35,58.17,705.40K,-0.37%,2019
431,2019-03-22,59.04,59.87,60.07,58.28,738.84K,-1.57%,2019
432,2019-03-21,59.98,59.99,60.39,59.66,655.38K,0.25%,2019
433,2019-03-20,59.83,59.02,60.12,58.39,31.13K,1.36%,2019
434,2019-03-19,59.03,59.01,59.57,58.62,114.82K,-0.10%,2019
435,2019-03-18,59.09,58.45,59.23,58.05,157.24K,0.97%,2019
436,2019-03-15,58.52,58.51,58.95,57.74,507.39K,-0.15%,2019
437,2019-03-14,58.61,58.35,58.74,58.0,567.60K,0.60%,2019
438,2019-03-13,58.26,57.09,58.48,57.01,610.62K,2.44%,2019
439,2019-03-12,56.87,56.76,57.55,56.74,652.80K,0.14%,2019
440,2019-03-11,56.79,56.07,57.01,55.96,597.16K,1.28%,2019
441,2019-03-08,56.07,56.43,56.51,54.52,747.36K,-1.04%,2019
442,2019-03-07,56.66,56.2,56.99,56.08,628.82K,0.78%,2019
443,2019-03-06,56.22,56.28,56.4,55.42,637.68K,-0.60%,2019
444,2019-03-05,56.56,56.45,57.19,56.09,538.40K,-0.05%,2019
445,2019-03-04,56.59,55.83,57.0,55.81,549.40K,1.42%,2019
446,2019-03-01,55.8,57.22,57.88,55.57,684.19K,-2.48%,2019
447,2019-02-28,57.22,57.0,57.43,56.43,496.68K,0.49%,2019
448,2019-02-27,56.94,55.95,57.39,55.72,577.23K,2.59%,2019
449,2019-02-26,55.5,55.46,56.08,55.02,538.92K,0.04%,2019
450,2019-02-25,55.48,57.17,57.53,55.08,723.01K,-3.11%,2019
451,2019-02-22,57.26,56.84,57.81,56.71,513.44K,0.53%,2019
452,2019-02-21,56.96,57.24,57.61,56.64,546.20K,0.07%,2019
453,2019-02-20,56.92,55.94,57.55,55.48,37.68K,1.48%,2019
454,2019-02-19,56.09,55.78,56.33,55.29,153.73K,-0.32%,2019
455,2019-02-18,56.27,56.33,56.73,56.12,-,-0.11%,2019
456,2019-02-17,56.33,56.17,56.39,56.11,-,1.33%,2019
457,2019-02-15,55.59,54.48,55.87,54.24,276.91K,2.17%,2019
458,2019-02-14,54.41,53.96,54.68,53.08,623.55K,0.95%,2019
459,2019-02-13,53.9,53.35,54.6,53.27,706.55K,1.51%,2019
460,2019-02-12,53.1,52.47,54.05,52.29,708.31K,1.32%,2019
461,2019-02-11,52.41,52.66,52.78,51.23,750.24K,-0.59%,2019
462,2019-02-08,52.72,52.59,52.99,52.08,621.00K,0.15%,2019
463,2019-02-07,52.64,53.94,54.21,51.8,749.01K,-2.54%,2019
464,2019-02-06,54.01,53.73,54.3,52.86,606.72K,0.65%,2019
465,2019-02-05,53.66,54.86,55.21,53.47,609.76K,-1.65%,2019
466,2019-02-04,54.56,55.32,55.75,53.29,622.47K,-1.27%,2019
467,2019-02-01,55.26,54.01,55.66,53.37,689.57K,2.73%,2019
468,2019-01-31,53.79,54.28,55.37,53.62,718.65K,-0.81%,2019
469,2019-01-30,54.23,53.24,54.93,53.09,731.31K,1.73%,2019
470,2019-01-29,53.31,52.12,53.93,51.84,660.53K,2.54%,2019
471,2019-01-28,51.99,53.56,53.64,51.33,650.67K,-3.17%,2019
472,2019-01-25,53.69,53.17,53.94,52.91,593.39K,1.05%,2019
473,2019-01-24,53.13,52.45,53.47,52.07,714.42K,0.97%,2019
474,2019-01-23,52.62,52.95,53.64,51.86,702.87K,0.10%,2019
475,2019-01-22,52.57,53.73,54.24,51.8,46.03K,-3.08%,2019
476,2019-01-21,54.24,53.66,54.48,53.58,-,1.10%,2019
477,2019-01-20,53.65,53.97,54.05,53.59,-,-0.28%,2019
478,2019-01-18,53.8,52.23,53.92,52.09,193.10K,3.32%,2019
479,2019-01-17,52.07,52.3,52.58,50.98,288.56K,-0.46%,2019
480,2019-01-16,52.31,52.0,52.52,51.26,694.18K,0.38%,2019
481,2019-01-15,52.11,50.78,52.3,50.64,664.18K,3.17%,2019
482,2019-01-14,50.51,51.73,52.11,50.38,791.53K,-2.09%,2019
483,2019-01-11,51.59,52.28,53.31,51.18,812.34K,-1.90%,2019
484,2019-01-10,52.59,52.18,52.78,51.37,821.78K,0.44%,2019
485,2019-01-09,52.36,49.8,52.58,49.71,891.92K,5.18%,2019
486,2019-01-08,49.78,48.73,49.95,48.31,765.98K,2.60%,2019
487,2019-01-07,48.52,48.3,49.79,48.11,819.94K,1.17%,2019
488,2019-01-04,47.96,46.9,49.22,46.65,817.28K,1.85%,2019
489,2019-01-03,47.09,46.26,47.49,45.35,788.72K,1.18%,2019
490,2019-01-02,46.54,45.8,47.78,44.35,850.48K,1.42%,2019
491,2019-01-01,45.89,45.77,45.95,45.73,-,1.06%,2019
